title,stars,price,book_stars,author,book_url,books_pages
できるAccess 2021 Office 2021＆Microsoft 365両対応 (できるシリーズ),29,2178,4.0,"
近藤 雄太 
(著),  
",https://www.amazon.co.jp/-/en/%E3%81%8D%E3%81%9F%E3%81%BF%E3%81%82%E3%81%8D%E3%81%93/dp/4295016063,0
今すぐ使えるかんたん　Excel完全ガイドブック　困った解決＆便利技 ［Office 2021/2019/2016/Microsoft 365対応版］,23,1628,4.1,"
富士通エフ・オー・エム株式会社 (FOM出版) 
(著) 
",https://www.amazon.co.jp/-/en/AYURA/dp/4297133040,416 pages
改訂2版 RユーザのためのRStudio[実践]入門〜tidyverseによるモダンな分析フローの世界,50,3278,4.2,"
今村 ゆうこ 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E6%9D%91-%E5%84%AA%E5%93%89/dp/4297121700,0
SQL実践入門──高速でわかりやすいクエリの書き方 (WEB+DB PRESS plus),75,2838,4.2,"
きたみ あきこ 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%9F%E3%83%83%E3%82%AF/dp/4774173010,368 pages
集中演習 SQL入門 Google BigQueryではじめるビジネスデータ分析 (できるDigital Camp),120,3080,4.2,"
yoku0825 
(著),  
",https://www.amazon.co.jp/-/en/%E6%9C%A8%E7%94%B0-%E5%92%8C%E5%BB%A3/dp/429501074X,480 pages
[エンジニアのための]データ分析基盤入門 データ活用を促進する! プラットフォーム&データ品質の考え方,36,2992,4.3,"
石川 洋資 
(著),  
",https://www.amazon.co.jp/-/en/%E6%96%8E%E8%97%A4-%E5%8F%8B%E6%A8%B9/dp/4297127245,272 pages
今日からできる! Python業務効率化スキルが身につく本,54,2420,4.0,"
今村 ゆうこ 
(著) 
",https://www.amazon.co.jp/-/en/%E3%81%84%E3%81%BE%E3%81%AB%E3%82%85/dp/4046057254,392 pages
リレーショナルデータベース入門―データモデル・SQL・管理システム・NoSQL (Information & Computing),26,3520,4.1,"
Jonathan Haskel 
(原名),  
",https://www.amazon.co.jp/-/en/%E5%A2%97%E6%B0%B8-%E8%89%AF%E6%96%87/dp/4781913903,415 pages
達人が教えるWebパフォーマンスチューニング 〜ISUCONから学ぶ高速化の実践,59,3278,4.4,"
Jake VanderPlas 
(著),  
",https://www.amazon.co.jp/-/en/%E8%97%A4%E5%8E%9F-%E4%BF%8A%E4%B8%80%E9%83%8E/dp/4297128462,360 pages
失敗から学ぶRDBの正しい歩き方 (Software Design plus),76,3014,4.2,"
渡部 亮太 
(著),  
",https://www.amazon.co.jp/-/en/%E6%9B%BD%E6%A0%B9-%E5%A3%AE%E5%A4%A7/dp/4297104083,288 pages
PostgreSQL徹底入門 第4版 インストールから機能・仕組み、アプリ作り、管理・運用まで,51,3608,4.0,"
松島 七衣 
(著) 
",https://www.amazon.co.jp/-/en/%E8%BF%91%E8%97%A4-%E9%9B%84%E5%A4%AA/dp/4798160431,0
Access 2019 基礎 (よくわかる),155,2200,4.1,"
西田 圭介 
(著) 
",https://www.amazon.co.jp/-/en/%E5%AF%8C%E5%A3%AB%E9%80%9A%E3%82%A8%E3%83%95%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-FOM%E5%87%BA%E7%89%88/dp/4865103864,0
おうちで学べるデータベースのきほん,106,2420,4.2,"
株式会社NTTデータ 鮒田文平 
(著),  
",https://www.amazon.co.jp/-/en/%E3%83%9F%E3%83%83%E3%82%AF/dp/479813516X,344 pages
Excel & Access 連携実践ガイド ~仕事の現場で即使える[増補改訂版],47,2948,4.0,"
株式会社富士通ラーニングメディア 
(著) 
",https://www.amazon.co.jp/-/en/%E4%BB%8A%E6%9D%91-%E3%82%86%E3%81%86%E3%81%93/dp/4297121875,376 pages
絵で見てわかるOracleの仕組み 新装版,38,2530,4.3,"
クレール クイグリー 
(著),  
",https://www.amazon.co.jp/-/en/%E5%B0%8F%E7%94%B0-%E5%9C%AD%E4%BA%8C/dp/4798157694,264 pages
Excel関数逆引き辞典パーフェクト 第3版,193,2640,4.9,"
西田 圭介 
(著) 
",https://www.amazon.co.jp/-/en/%E3%81%8D%E3%81%9F%E3%81%BF-%E3%81%82%E3%81%8D%E3%81%93/dp/4798146722,832 pages
MySQL徹底入門 第4版 MySQL 8.0対応,39,4180,4.1,"
佐藤 聖規 
(著, 監修),  
",https://www.amazon.co.jp/-/en/yoku0825/dp/4798161489,552 pages
確かな力が身につくPHP「超」入門 第2版,10,2860,4.1,"
宮野 公樹 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E6%B5%A6%E5%81%A5%E4%B8%80%E9%83%8E-%E5%8F%B8%E3%82%86%E3%81%8D/dp/4815617147,0
[増補改訂第3版]Swift実践入門 ── 直感的な文法と安全性を兼ね備えた言語 (WEB+DB PRESS plusシリーズ),68,3608,4.0,"
松島 七衣 
(著) 
",https://www.amazon.co.jp/-/en/%E7%9F%B3%E5%B7%9D-%E6%B4%8B%E8%B3%87/dp/4297112132,480 pages
Access VBA 実践マスターガイド~仕事の現場で即使える,85,2838,4.4,"
ながたき 
(著) 
",https://www.amazon.co.jp/-/en/%E4%BB%8A%E6%9D%91-%E3%82%86%E3%81%86%E3%81%93/dp/4297107007,336 pages
無形資産が経済を支配する: 資本のない資本主義の正体,110,3080,5.0,"
滋賀大学データサイエンス学部 
(編集),  
",https://www.amazon.co.jp/-/en/Jonathan-Haskel/dp/4492315241,388 pages
Pythonデータサイエンスハンドブック ―Jupyter、NumPy、pandas、Matplotlib、scikit-learnを使ったデータ分析、機械学習,54,4620,4.1,"
赤石 雅典 
(著) 
",https://www.amazon.co.jp/-/en/Jake-VanderPlas/dp/4873118417,556 pages
データベース速攻入門　～モデリングからSQLの書き方まで (Software Design別冊),2,2420,4.1,"
鳥谷部 昭寛 
(著),  
",https://www.amazon.co.jp/-/en/%E5%A0%80%E5%86%85-%E5%BA%B7%E5%A4%AB/dp/4297133628,192 pages
[改訂2版]Oracleの基本 〜データベース入門から設計/運用の初歩まで,3,3168,4.0,"
武藤 玄 
(著) 
",https://www.amazon.co.jp/-/en/%E6%B8%A1%E9%83%A8-%E4%BA%AE%E5%A4%AA/dp/429712954X,384 pages
Tableauによる最適なダッシュボードの作成と最速のデータ分析テクニック ~優れたビジュアル表現と問題解決のヒント~,68,3740,4.2,"
北川 博之 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E5%B3%B6-%E4%B8%83%E8%A1%A3/dp/4798164445,0
[増補改訂]ビッグデータを支える技術 ——ラップトップ1台で学ぶデータ基盤のしくみ (WEB+DB PRESS plus),22,3520,4.5,"
Alex Petrov 
(著),  
",https://www.amazon.co.jp/-/en/%E8%A5%BF%E7%94%B0-%E5%9C%AD%E4%BB%8B/dp/4297119528,368 pages
1週間でAWS認定資格の基礎が学べる本,30,2640,4.1,"
佐藤昭文 
(著) 
",https://www.amazon.co.jp/-/en/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BENTT%E3%83%87%E3%83%BC%E3%82%BF-%E9%AE%92%E7%94%B0%E6%96%87%E5%B9%B3/dp/4295016306,256 pages
